observations,WM-hypointensities
696,-1.5018406229497148
698,-1.232986210304697
699,-0.8438275150088934
700,-1.6992271169666893
701,-0.904669661878603
702,-1.2774920896976207
703,-1.8306576495461173
704,-0.8810016773556627
707,-1.4263411370861596
708,-1.8008025026287011
709,-1.3923089862694855
710,-0.9411055159894648
712,-1.7848704148362882
713,-1.3434739513962957
714,-0.8631673618543355
715,-6.167578639847908
716,-6.376529890025723
718,-1.649597333000306
719,-1.575162684739615
720,-1.0978373286785903
721,-1.6182690136509736
722,-1.8550935002581241
723,-0.8337141801187701
725,-1.1397689097567698
726,-1.4782306089394215
727,-1.0705987834761022
728,-1.464785921601029
729,-1.2138345094828467
730,-1.4110914069189326
731,-1.0179158655607705
732,-2.7372675317371935
733,-1.230427280355971
734,-1.3082424127407184
735,-1.7497590676557089
737,-0.9627741211941705
740,-1.6130594187936333
741,-1.763238530104218
884,-0.611628098988548
885,-0.6402523559537029
886,-0.7877660438623854
889,-0.6923307165562694
890,-0.7549053848720942
891,-0.5862923807673324
892,-0.6215263094324643
893,-0.6685013040767069
894,-8.928311793413817
895,-0.5774952014126381
896,-0.6568239685818971
898,-0.5763047632635998
899,-0.7010426098549574
900,-2.0792924472098324
901,-0.7049070228688996
902,-1.0281346762608596
905,-0.5721591216241236
909,-0.8171831742590281
910,-1.6838813921760307
911,-6.157893431667076
912,-0.6718235600080746
913,-0.8430525877377859
914,-1.8355019612173158
916,-0.7286838287186476
917,-0.6312516430562468
918,-0.5786075571949433
919,-0.7761511043286738
920,-0.912726832810687
921,-0.587352601159411
922,-0.7306663520324279
923,-0.5893703656024692
924,-0.6856959152507341
925,-0.6035723136042155
926,-0.589966379813993
927,-0.6817404440946594
928,-0.5794998122155642
929,-0.5895487438873541
930,-0.5890578211724778
932,-0.6551130974633894
933,-0.5884127164840763
934,-0.6240061856844943
935,-0.8654765227179291
936,-0.96951916079504
937,-0.590450274760344
938,-0.9445302266493586
939,-0.606323822887794
940,-0.6802265458418126
941,-0.8508992462086652
942,-0.6175042355620556
944,-0.6851348296909826
945,-0.9380198920354842
946,-0.6082092235350743
947,-0.8501811539119417
948,-1.7551874658767908
949,-0.6971085555576928
950,-3.1988073512207715
952,-0.6389988798481405
954,-0.5774176547274176
955,-1.0649977330063656
956,-0.5703490217541984
958,-1.6494436283584837
960,-1.324876102418358
961,-1.5292133986500813
962,-1.058684360883621
963,-1.4559938913707755
966,-1.8228009188382024
967,-0.5958159614530134
968,-1.0550205132653234
970,-0.8202813785053082
971,-1.3981947292042471
972,-0.5803204024372591
974,-0.635211863542179
975,-0.6329168619627507
977,-0.6360253393404471
978,-0.5907690781421426
979,-0.6119207356358667
980,-0.9077816689712951
981,-0.580230269566906
982,-1.1230140319014739
984,-0.6086208358469544
985,-0.7654645138978593
