observations,WM-hypointensities
0,-0.1370961141104593
1,-0.48937900182070165
10,-0.5205279196205447
100,-0.1971353668500544
1000,-0.34874446228490147
1001,-0.30438556684611134
1002,-0.2824990985402505
1004,-0.34233744993211673
1005,-0.38634919791258715
1008,-1.053707064734615
1009,-0.27788926751739823
101,-0.28530314984496125
1010,-0.5778825879110249
1011,-0.4329334493402409
1013,-1.9187817844077095
1014,-0.22607321828883384
1015,-0.5040734577251843
1016,-1.0141388280115793
1018,-1.7922478769645496
1019,-0.7971850434501735
102,-0.27901611395947107
1020,-1.3989773862406703
1021,-2.314215148353952
1022,-0.40271970660301476
1023,-2.5413172455833495
1026,-0.9814531139455712
1027,-1.1689423833551578
1028,-0.5010557516920664
103,-0.5217029540945007
1030,-0.25659214138576186
1031,-1.2900736126122794
1032,-0.3178221100302656
1033,-0.14109580931257773
1034,-0.11228267695770122
1035,-0.12206659699580368
1036,-0.27876259284201627
1037,-1.1542209695994656
1038,-0.14763709271972766
1039,-0.4547722619520253
104,-0.35087706458672785
1040,-0.4432288045206789
1042,-0.8164558027468302
1044,-3.2720167887286316
1045,-0.2073988436060503
1047,-0.9852011050026744
1048,-0.29509072477666765
1050,-0.3048689063045583
1051,-0.3384146002230598
1052,-0.2788375492641319
1053,-0.09856805510755187
1056,-0.4748311300991616
1058,-0.2746073634480307
1059,-1.8740173439814416
1060,-0.15904674315981362
1061,-0.45404470696197813
1062,-0.40269435245645807
1063,-0.20844455066696257
1064,-0.18258379233125344
1065,-0.14086527299096516
1067,-0.2107860308334485
1068,-0.1591296119549572
107,-0.7370701511923832
1070,-0.3194996926184166
1071,-0.1417953206389064
1072,-0.19334964408204336
1073,-0.4243680329483217
1074,-0.12336430485729329
1075,-0.23606470250945036
1076,-0.5080676419897081
1077,-0.3152017997200802
110,-0.43557256968236907
111,-2.614497187687009
112,-1.6497346148815768
113,-0.20573932986133678
114,-0.6170744604079594
115,-0.2538829745724672
116,-0.12413115776001064
117,-0.11337894673457377
118,-0.651708980546892
119,-2.3405044428652917
121,-1.2034059288336318
122,-0.47503559798000794
123,-0.518490528599781
