observations,WM-hypointensities
0,-0.16562887689281466
1,-0.7578238874045282
2,-0.2488474857222522
3,-0.3113405110267888
4,-0.6173927891072076
5,-0.9168778074639143
6,-7.669617361467115
7,-1.541904484517257
8,-1.2089726418702473
9,-0.16360882448236194
10,-1.0758343422875924
11,-0.28834032050669267
12,-1.1313625610229048
13,-1.1525796672282065
14,-1.0070382681489163
15,-1.3352626948645627
16,-14.712897027402617
17,-1.432396886802476
18,-1.1715669101324881
19,-0.2467395755130954
20,-2.932470590066471
21,-0.637279235633521
22,-1.067591242104532
23,-0.2051090495304717
24,-0.24922980502763428
25,-1.092347128553666
26,-1.2973191565363256
27,-0.16934701205976496
28,-1.3076255591386114
29,-1.3206546975830733
30,-0.23846055546867154
31,-1.0818491637365713
32,-2.4454879849423903
33,-0.7603370199646334
34,-1.1673097455522736
35,-1.2627130526699006
36,-0.29133157512315144
37,-1.525886072379593
38,-0.4165230614365523
39,-0.16964766756158736
40,-0.15801106948755633
41,-1.4289015296006753
42,-1.0580148586819378
43,-0.7481472000375611
44,-3.6487355933806356
45,-0.8224465063274711
46,-0.8032666592950063
47,-2.3306984783630913
48,-0.5446676013457679
49,-10.206342191723907
50,-0.980670756370491
51,-0.1516682716701209
52,-0.32752491912786197
53,-0.15638493174144075
54,-1.0513976743536972
55,-3.0021262117622562
56,-1.18033720272711
57,-0.2088442483918429
58,-0.8910894945250537
59,-1.4592063131811164
60,-0.5446203526880604
61,-0.1813667178182985
62,-0.9659041948309537
63,-0.16696898857014414
64,-0.22667478060353255
65,-0.3697839094434512
66,-0.16644573708042137
67,-0.3947432614365373
68,-2.322746815615492
69,-1.4970015990464978
70,-1.2829844410513134
71,-0.2671189165181496
72,-0.6968029252104476
73,-1.5124291671643886
74,-1.1567993154424758
75,-1.1494703973635492
76,-0.40584769233958345
77,-0.17870438598713181
78,-1.1318609497147714
79,-0.2318218139991997
80,-10.378067147464295
81,-1.0382354796454722
82,-1.1678720016011845
83,-0.24977257797974442
84,-0.30721130834357335
85,-2.5959094306197095
86,-1.0454973795700293
87,-1.1079833189762756
88,-0.17496835080767717
89,-0.34998908219009023
90,-14.155408868919544
91,-0.9620808002268165
92,-0.3439483802601232
93,-0.15894584456562597
94,-0.4878159358926364
95,-0.21589554002402
96,-0.5678659740230176
97,-0.21245391361362742
98,-1.245995323927152
99,-0.5720141394250625
100,-0.15367983019362436
101,-0.625365932008743
102,-1.0503308735144221
103,-0.16830828072250892
104,-1.6429641154389276
105,-0.16858021878273657
106,-1.6276373130527784
107,-0.19224929449585296
108,-1.0290502795931136
109,-0.4028820640662293
110,-3.100662708317018
111,-1.4600680299523257
112,-0.1903029733144346
113,-0.1650385748201184
114,-1.2909519508580927
115,-0.2992501134524751
116,-0.4910646697806999
117,-0.5779950656681151
118,-0.540572587189834
119,-0.1480084187199244
120,-0.7446206424987247
121,-0.5754758449159022
122,-0.46927383447890536
123,-0.8784006477778447
124,-1.1587509005887553
125,-0.5401615220141355
126,-0.4189581111176527
127,-0.3275189074798925
128,-0.6525409285250672
129,-0.25681991306065116
130,-0.30847769919711643
131,-1.4106252902827852
132,-0.34556551790186846
133,-0.7712946007100208
134,-0.4480774269533069
135,-0.8981873034837257
136,-0.29681118029659026
137,-1.0405794623728502
138,-1.798276514124115
139,-0.5570995845111151
140,-0.44189997791992625
141,-0.7755219636183392
142,-0.21154195528701436
143,-0.42391431948022634
144,-1.7793831837597875
145,-0.5642195840756943
146,-0.5980712445257889
147,-0.4743064726722861
148,-1.6696507360550998
149,-0.44432940345895106
150,-0.1939226570096939
151,-0.13504884461351904
152,-0.20244032772846984
153,-0.997346283860569
154,-1.8542586033233466
155,-0.2487498914988222
156,-0.2126213477528546
157,-0.9055101129081149
158,-0.7244249803390667
159,-0.3375957303852418
160,-0.259521467129913
161,-2.3443590427563894
162,-0.170659662361418
163,-0.4141835219243598
164,-1.3658223453871454
165,-1.4377080033639773
166,-0.34603646483604733
167,-0.1692711418043685
168,-1.6695328027886889
169,-0.8485294985493579
170,-0.19002402993694015
171,-0.252860306056467
172,-0.3263819969847068
173,-0.4241237699501037
174,-0.18903134682073722
175,-0.28409870561891926
176,-0.9958273542401247
177,-0.791817670084448
178,-0.13464380927501896
179,-1.8621097757830878
180,-0.8861083023635736
181,-0.7284780399472085
182,-0.16486441889701045
183,-2.3235874138730996
184,-0.7238849462340563
185,-0.24643854575972238
186,-1.1399765228614416
187,-0.4922395970044295
188,-0.8262926820137002
189,-0.4650046930295511
190,-0.20938608207261108
191,-0.22556280793807193
192,-0.3126871113302443
193,-0.14024206682778073
194,-0.6567479273889995
195,-0.5704515238161929
196,-0.7687999996025858
197,-0.18172430784909296
198,-1.325889717208858
199,-1.5671319525832725
200,-0.5995168478880123
201,-3.7407287759114487
202,-0.24868868090433352
203,-1.6844532264713392
204,-0.32865848028946765
205,-0.31771568693760893
206,-1.1119422464655373
207,-0.13585928890981516
208,-0.41240390402979066
209,-0.20781832940904799
210,-0.4399490395675426
211,-1.4365680374226186
212,-0.13020753603590982
213,-1.002201280956902
214,-0.12856348681241805
215,-1.0882916559804134
216,-0.24034629376561717
217,-2.12612794800112
218,-0.3096056335168423
219,-2.0890800690497313
220,-0.6351473421783556
221,-0.9493845571142339
222,-0.5625045418039567
223,-1.7798571744685339
224,-0.5140005266536262
225,-1.9037987766266906
226,-0.24521734501480327
227,-0.46233804785905325
228,-0.7939751006102312
229,-0.5102716411418504
230,-2.1945687681190673
231,-0.4274560540731101
232,-1.6603339549091316
233,-0.4446296437367308
234,-1.4264136701936225
235,-0.759202368786406
236,-0.48373995474867765
237,-0.2385548455658201
238,-0.2127320688204294
239,-0.2182999659961295
240,-0.3637581514427715
241,-0.624159888431356
242,-0.28793437480923784
243,-0.18242812298469122
244,-0.8777499665557738
245,-0.4189686766580471
246,-0.36145856542447563
247,-1.8859674958699655
248,-1.1386289029885235
249,-0.2585930748775359
250,-1.673103651734029
251,-0.575654720318587
252,-2.463304241316284
253,-0.2403509446661961
254,-0.35415305525618773
255,-0.5628892315104908
256,-0.9581284544201508
257,-0.166775422826813
258,-0.24004761245370448
259,-0.38450855157424924
260,-0.39438564661584374
261,-1.1364038719426703
262,-0.7620723685648139
263,-1.4204153396408916
264,-0.5331282871112453
265,-1.5601998005020878
266,-0.4078342955209216
267,-0.3905064670265872
268,-1.2315453136825185
269,-0.17350076471694487
270,-0.12019191197820944
271,-2.1479877809684096
272,-0.21631712816087284
273,-0.157314345044161
274,-0.201393653582763
275,-0.21671602657848085
276,-0.7322402221360456
277,-0.8538799478958606
278,-0.18928314400742946
279,-3.4871508837641003
280,-0.2894741217919186
281,-0.7166667692357656
282,-0.2467272417145423
283,-1.7100893782468096
284,-0.12351645007688447
285,-0.19675390930308928
286,-0.32128413429421465
287,-0.34584498880242986
288,-0.8486434522428449
289,-0.25196194630266666
290,-0.7978020051078475
291,-0.2641487202259434
292,-0.14711898872428708
293,-0.45632024610148025
294,-1.0488448467936367
295,-1.4125967084888917
296,-0.5612185929235803
297,-0.2516647044275887
298,-0.2816547530219803
299,-1.8936195236005697
300,-0.21676827746979238
301,-1.0808133365844317
302,-1.3691577695251982
303,-0.12085890083639496
304,-0.24493113985618595
305,-0.31509204896048354
306,-0.18238206292086773
307,-2.062536387651952
308,-0.3649486215090912
309,-4.205166972815886
310,-0.14710131241644916
311,-0.2742349562760018
312,-0.15076406522864294
313,-0.23847034070686832
314,-0.6113252811200462
315,-0.22672114920140002
316,-1.9714042585017926
317,-0.25152447876797823
318,-1.6380506667051264
319,-1.1268287905418681
320,-0.2614616712983514
321,-0.19890683753621344
322,-0.9373268519378685
323,-1.7647070377766132
324,-0.22278745498724695
325,-2.1007202863395142
326,-0.37844464463948446
327,-0.21378792413970968
328,-0.1626605751927063
329,-0.2070653202236407
330,-0.4416995248021152
331,-0.5556558120564002
332,-1.242536922291071
333,-1.130233947774801
334,-0.17028284795513643
335,-0.2610631063400434
336,-0.2359660759405785
337,-1.3291528864522502
338,-0.2121355826144107
339,-0.3542243743635546
340,-1.2930448119431637
341,-1.4267986157223789
342,-1.3213998359876962
343,-3.7423978470297623
344,-0.2133680094293325
345,-2.213034282701758
346,-0.1308358686162271
347,-0.27356754950329853
348,-0.2505166066190514
349,-2.2839942040181453
350,-0.26501173831172675
351,-0.25405111565939353
352,-0.2816660550648525
353,-0.44012973256025856
354,-1.527622325583279
355,-0.6171913349380017
356,-3.0350203012502144
357,-0.36553742178199444
358,-0.2733090158516923
359,-1.077075283439368
360,-0.2498205451178504
361,-0.42140510493672895
362,-1.2193029602502414
363,-0.20844865774300206
364,-0.34925805638017793
365,-0.6151180253802969
366,-1.1038290202233638
367,-0.298219405925793
368,-0.4380135167099465
369,-0.7087285348489554
370,-0.16398338385071126
371,-0.9313978770418399
372,-0.9336928906983123
373,-0.39986408390900774
374,-0.4084816461543946
375,-3.1290186135040754
376,-0.16132606745247205
377,-1.1691884972138218
378,-0.6204977942675378
379,-1.519898347990119
380,-0.8988663802115977
381,-0.34983297048781425
382,-1.2307039211024837
383,-0.5983875200985662
384,-1.1966326418559954
385,-0.5084406857397684
386,-1.210473175065776
387,-2.4958333402596105
388,-0.4529539680876178
389,-1.3725944795026368
390,-0.1522302525022211
391,-0.45336286121770675
392,-2.619657731845726
393,-1.05048445018076
394,-0.39809302614236414
395,-1.053094322328118
396,-0.4710025273942199
397,-1.2895566609724347
398,-1.666311942503476
399,-0.7101642562854112
400,-0.19283164998463073
401,-0.1375133011521948
402,-1.9174752238202566
403,-0.15241721387302506
404,-1.1981604466122249
405,-1.537142855164066
406,-0.2500528396924419
407,-0.665960563623079
408,-1.1347141273381574
409,-0.4730158468438582
410,-0.464063038787113
411,-0.2333141915793006
412,-1.6139120035784948
413,-0.16555368549199181
414,-0.19330739365455143
415,-0.4066457180834337
416,-2.195796708028371
417,-1.9239856488194158
418,-0.5682145309544534
419,-0.2846505326887708
420,-0.6053647281405594
421,-1.0100438847778859
422,-0.3532364883344926
423,-0.5860032249725943
424,-2.6438112962977227
425,-0.2768352492740792
426,-1.7864804386570008
427,-0.4313009248417314
428,-0.16069447173527446
429,-0.6262765674650489
430,-1.6604299702127785
431,-0.7073463046156303
432,-0.8358520258058231
433,-0.31111698479120903
434,-0.2720643342957722
435,-0.3559023924552605
436,-0.2342733747926504
437,-1.0845877025670285
438,-0.7051945690710292
439,-0.7025009173823205
440,-0.23562963689830432
441,-0.40266433779094807
442,-0.32725823736377607
443,-2.125993887127856
444,-0.19873814212381422
445,-0.14105164028831182
446,-0.9923044043668316
447,-0.7266519769339034
448,-0.8278248238477166
449,-1.6876049321599143
450,-0.26882957376266914
451,-1.9395517024835587
452,-0.1851365261644126
453,-3.3389090463575104
454,-1.8066454704944244
455,-1.2796198756598236
456,-0.1701725810302225
457,-0.19514796213185742
458,-2.2899388360192745
459,-2.124678073301801
460,-0.1685495867455064
461,-0.8351323561187272
462,-2.62117494033782
463,-0.4902742874831904
464,-0.25824671724252646
465,-0.6434261400846767
466,-0.22326902106325058
467,-2.96011262103743
468,-0.39432073662194256
469,-0.7129176010896258
470,-0.4118901242361785
471,-1.1758398404665205
472,-0.20184481267963642
473,-0.7878943978721897
474,-2.0074379586242297
475,-1.852068028410884
476,-1.5957041348820626
477,-0.844707663706356
478,-0.49777103821136626
479,-0.1400573943918719
480,-0.36317194903171857
481,-0.36318295452660443
482,-0.21755762145081875
483,-0.4662944851411912
484,-2.5445545217391716
485,-0.8638003800883406
486,-0.9659519408350052
487,-0.18621627385633194
488,-1.3393957136379637
489,-0.22893061988237465
490,-0.2848897156279146
491,-0.5074590649304542
492,-0.28311460130754007
493,-0.5051287651234159
494,-1.087543443005817
495,-0.7298358285707907
496,-0.20341579548692934
497,-0.9824177312611712
498,-1.541680257817716
499,-0.46972498054286865
500,-4.361716261526705
501,-0.2610752841775707
502,-1.5673614772746893
503,-0.5365440031588322
504,-1.1694398085710067
505,-0.540602879619896
506,-1.6169722435689413
507,-1.392080462743855
508,-0.6776677922755163
509,-0.5864393017567537
510,-0.5546989767217795
511,-1.034647366764339
512,-0.5841194044123905
513,-0.13594648744084328
514,-0.43663982802223444
515,-2.079163343753298
516,-1.0534882129755951
517,-0.36885710619962203
518,-0.9217265918497582
519,-0.21143565199746195
520,-3.4393194019013813
521,-0.3683127834403092
522,-1.0948169128813219
523,-0.47549011961854665
524,-0.17366605036917493
525,-2.859672623359365
526,-0.5100743545498903
527,-0.11851225761641725
528,-0.2666251129721992
529,-2.254090728164239
530,-1.069076967119026
531,-0.25070030856381137
532,-1.589363231745115
533,-0.19349428621957043
534,-0.47539102028495117
535,-1.6363366044672243
536,-1.6774623532383872
537,-0.2885454623397021
538,-0.19183263598329744
539,-0.6049657715139419
540,-0.8547214172431965
541,-0.25662199072173936
542,-0.845640200755094
543,-0.33088657318133635
544,-0.40413493454482763
545,-0.49375669507330705
546,-0.500479417468166
547,-0.305396567548641
548,-0.5291453991102311
549,-0.1430668509321233
550,-0.16389732950877206
551,-0.5127540015964531
552,-2.1874803178569864
553,-0.3798343470733038
554,-0.6604469827357471
555,-1.1606354728726882
556,-0.499507286783645
557,-2.1731251391122495
558,-0.2088689179469321
559,-0.2594135298470783
560,-1.4229862199004462
561,-1.3582167849117825
562,-0.34105124210961835
