observations,WM-hypointensities
884,-0.611628098988548
920,-0.912726832810687
946,-0.6082092235350743
975,-0.6329168619627507
886,-0.7877660438623854
945,-0.9380198920354842
715,-6.167578639847908
958,-1.6494436283584837
696,-1.5018406229497148
918,-0.5786075571949433
725,-1.1397689097567698
930,-0.5890578211724778
971,-1.3981947292042471
699,-0.8438275150088934
731,-1.0179158655607705
708,-1.8008025026287011
894,-8.928311793413817
740,-1.6130594187936333
726,-1.4782306089394215
919,-0.7761511043286738
963,-1.4559938913707755
941,-0.8508992462086652
702,-1.2774920896976207
905,-0.5721591216241236
921,-0.587352601159411
960,-1.324876102418358
737,-0.9627741211941705
929,-0.5895487438873541
735,-1.7497590676557089
727,-1.0705987834761022
952,-0.6389988798481405
733,-1.230427280355971
948,-1.7551874658767908
899,-0.7010426098549574
709,-1.3923089862694855
700,-1.6992271169666893
893,-0.6685013040767069
703,-1.8306576495461173
889,-0.6923307165562694
954,-0.5774176547274176
984,-0.6086208358469544
938,-0.9445302266493586
955,-1.0649977330063656
980,-0.9077816689712951
732,-2.7372675317371935
701,-0.904669661878603
913,-0.8430525877377859
961,-1.5292133986500813
890,-0.7549053848720942
950,-3.1988073512207715
936,-0.96951916079504
898,-0.5763047632635998
972,-0.5803204024372591
933,-0.5884127164840763
698,-1.232986210304697
914,-1.8355019612173158
947,-0.8501811539119417
901,-0.7049070228688996
729,-1.2138345094828467
718,-1.649597333000306
922,-0.7306663520324279
981,-0.580230269566906
720,-1.0978373286785903
928,-0.5794998122155642
956,-0.5703490217541984
896,-0.6568239685818971
944,-0.6851348296909826
927,-0.6817404440946594
910,-1.6838813921760307
741,-1.763238530104218
721,-1.6182690136509736
932,-0.6551130974633894
940,-0.6802265458418126
728,-1.464785921601029
713,-1.3434739513962957
714,-0.8631673618543355
912,-0.6718235600080746
925,-0.6035723136042155
730,-1.4110914069189326
974,-0.635211863542179
716,-6.376529890025723
968,-1.0550205132653234
734,-1.3082424127407184
979,-0.6119207356358667
917,-0.6312516430562468
966,-1.8228009188382024
962,-1.058684360883621
707,-1.4263411370861596
977,-0.6360253393404471
935,-0.8654765227179291
911,-6.157893431667076
710,-0.9411055159894648
949,-0.6971085555576928
895,-0.5774952014126381
942,-0.6175042355620556
967,-0.5958159614530134
885,-0.6402523559537029
934,-0.6240061856844943
719,-1.575162684739615
909,-0.8171831742590281
891,-0.5862923807673324
985,-0.7654645138978593
704,-0.8810016773556627
892,-0.6215263094324643
902,-1.0281346762608596
978,-0.5907690781421426
712,-1.7848704148362882
937,-0.590450274760344
723,-0.8337141801187701
924,-0.6856959152507341
900,-2.0792924472098324
722,-1.8550935002581241
923,-0.5893703656024692
939,-0.606323822887794
982,-1.1230140319014739
926,-0.589966379813993
916,-0.7286838287186476
970,-0.8202813785053082
